title,source,summary
"""Virat Kohli Was Right In Limiting R Ashwin To Tests"": Ex-Pak Player Launches Scathing Attack","NDTV Sports Desk   | Friday November 11, 2022                                                        
                                                        ","Ravichandran Ashwin played all 6 matches for India in T20 World Cup 2022, bagging 6 wickets in total. He wasn't able to create much impact, either with the bat or the ball."
Arrested Karnataka Top Cop's Home Raided Over Police Job Scam,"
															Written by Sreeja M S , Edited by Sanjib Kumar Das  | Friday November 11, 2022, Bengaluru                                                        
                                                        ",Enforcement Directorate today carried out search operations at 11 locations in Bengaluru and Patiala under the provisions of the Prevention of Money Laundering Act
Kerala Government Launches 'Goal Project' To Provide Basic Football Training For Five Lakh Students,"
															Reported by Press Trust of India | Friday November 11, 2022                                                        
                                                        ","Kerala Sports Minister V Abdurahiman on Friday inaugurated the 'Goal project', an initiative under the government to provide basic football training for five lakh students across the state."
US Treasury Removes India From Its Currency Monitoring List,"Press Trust of India   | Friday November 11, 2022, New Delhi                                                        
                                                        ","The US Department of Treasury on Friday removed India along with Italy, Mexico, Thailand and Vietnam from its Currency Monitoring List."
"Paresh Rawal Confirms Kartik Aaryan's Association With Hera Pheri 3: ""Yes, It Is True""","
															Written by Jyothi Jha  | Friday November 11, 2022, New Delhi                                                        
                                                        ",Paresh Rawal confirmed the news on his Twitter handle
"""India Should Consider Playing Overseas T20 Leagues"": Stephen Fleming","Press Trust of India   | Friday November 11, 2022                                                        
                                                        ","While Hales has a rich BBL experience, having played for Melbourne Renegades, Adelaide Strikers, Hobart Hurricanes and Sydney Thunders, Buttler too has represented Melbourne Renegades and Sydney Thunder in the BBL since 2013."
"""No Antics Can Match Walking..."": Congress Dig At PM Modi's South Push, ""Yatra Impact""","NDTV News Desk   | Friday November 11, 2022, New Delhi                                                        
                                                        ","PM began visit today from Karnataka, Tamil Nadu; will visit Andhra Pradesh, Telangana; states recently covered by Rahul Gandhi's 'Bharat Jodo Yatra'"
Man Who Stabbed Belgian Cop To Death Was On Terror Watchlist,"Agence France-Presse   | Friday November 11, 2022, Brussels, Belgium                                                        
                                                        ","The knifeman who fatally stabbed a Brussels police officer before being shot and arrested was already on a watch list maintained by Belgium's terrorism monitoring agency, federal prosecutors said Friday."
India's First Privately Developed Rocket Vikram-S to Launch on November 15,"Press Trust of India   | Friday November 11, 2022                                                        
                                                        ","India's first privately developed rocket — Vikram-S — is set for a November 15 launch on a sub-orbital mission with three payloads, Hyderabad-based space startup Skyroot Aerospace announced on Tuesday. The maiden mission of Skyroot Aerospace, named 'Prarambh' (the beginning), will carry payloads of two Indian and one foreign customers and is set for launch from the Indian Space Research Organisation's launchpad at Sriharikota."
Inside Preity Zinta's Twins Gia And Jai's First Birthday. See Pics,"
															Written by Jyothi Jha  | Friday November 11, 2022, New Delhi                                                        
                                                        ",Preity Zinta welcomed her twins last year via surrogacy
NEET UG Counselling 2022: MCC Opens Seat Resignation Window Against Round 1 Seat Allotment,"
															Edited by Adarsh Srivastava  | Friday November 11, 2022                                                        
                                                        ",The Medical Counselling Committee (MCC) has opened the seat resignation window against NEET UG counselling 2022 round 1 seat allotment.
"""Not Acceptable"": Supreme Court To Centre On Delay In Judges' Appointment","Press Trust of India   | Friday November 11, 2022, New Delhi                                                        
                                                        ","The Supreme Court on Friday expressed displeasure over the delay by the Centre in clearing the names recommended for appointment as judges in the higher judiciary, including those reiterated by the apex court Collegium."
"Arvind Kejriwal, Harbhajan Singh AAP Star Campaigners For Delhi Civic Polls","Press Trust of India   | Friday November 11, 2022, New Delhi                                                        
                                                        ",Expenditure on electioneering by a star campaigner is not added to the candidate's poll expenses.
NMMS Scholarship 2022 Admit Card Out; Direct Link Here,"
															Written by Arpita Das  | Friday November 11, 2022                                                        
                                                        ","NMMS 2022 admit card is released by BSEH on the official website at bseh.org.in or scertharyana.gov.in. Students need to enter their names, mobile number, and aadhar number to download the admit card,"
T20 WC: ICC Announces Match Officials For Final Between England and Pakistan,"Asian News International   | Friday November 11, 2022                                                        
                                                        ",England will take on Pakistan in the final of the ICC Men's T20 World Cup at the MCG in Melbourne on November 13.
